,Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago
0,0.5106,Mon Jun 25 20:01:30 +0000 2018,0.677,0.0,0.323,@BBCWorld,Trump to Waters: 'Be careful what you wish for Max' https://t.co/XlyOeoiCGf,1
1,-0.204,Mon Jun 25 20:01:30 +0000 2018,0.586,0.262,0.152,@BBCWorld,"RT @BBCSport: FULL TIME: #IRN 1-1 #POR.

An absolutely remarkable game. Ansarifard's controversial late penalty cancels out Ricardo Quaresmâ€¦",2
2,0.0,Mon Jun 25 20:00:19 +0000 2018,1.0,0.0,0.0,@BBCWorld,An extraordinary denouement to Group B https://t.co/z9oTdgUMW0,3
3,0.6114,Mon Jun 25 19:56:35 +0000 2018,0.815,0.0,0.185,@BBCWorld,"RT @BBCSport: FT: #ESP 2-2 #MAR 

Dramatic finish! Iago Aspas' classy flick has sealed a point - and Spain's place at the top of Group B (fâ€¦",4
4,-0.7074,Mon Jun 25 19:53:36 +0000 2018,0.708,0.236,0.055,@BBCWorld,"RT @BBCSport: GOAL! Iran 1-1 Portugal. 

Ansarifard makes no mistake from the spot! Right in the top corner. No saving that!

ðŸ–¥ @BBCOne
ðŸ’» hâ€¦",5
5,0.0,Mon Jun 25 19:51:22 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: GOAL!

Iago Aspas initially had a cheeky flick ruled out for offside... but VAR has changed everything! 

#ESP 2-2 #MAR 

Livâ€¦",6
6,0.0,Mon Jun 25 19:43:53 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: GOAL!

Drama!

Youssef En-Nesyri nods Morocco into the lead!

#ESP 1-2 #MAR

Live: https://t.co/AXu6R7tBE7 #WorldCup #bbcworlâ€¦",7
7,-0.128,Mon Jun 25 19:37:54 +0000 2018,0.842,0.158,0.0,@BBCWorld,Argentina strike against austerity brings country to a halt https://t.co/WoGXdKTI9s,8
8,-0.555,Mon Jun 25 18:46:23 +0000 2018,0.865,0.135,0.0,@BBCWorld,"RT @BBCSport: GOAL! Iran 0-1 Portugal. 

A moment of magic just before the break! Outside of the right foot from outside the penalty area fâ€¦",9
9,-0.4588,Mon Jun 25 18:40:45 +0000 2018,0.727,0.273,0.0,@BBCWorld,Tourists banned from Malaysia mosque after provocative dance https://t.co/BLRqWwof3Z,10
10,0.0,Mon Jun 25 18:26:18 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: GOAL!

That didn't last long! 

Spain work their way through and Isco rifles into the roof of the net.

#ESP 1-1 #MAR 

ðŸ“º @BBâ€¦",11
11,0.0,Mon Jun 25 18:17:46 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: GOAL!

Khalid Boutaib slots in the opener!

Grab the popcorn...

#ESP 0-1 #MAR 

ðŸ“º @BBCFOUR
ðŸ“± https://t.co/AXu6R7tBE7 

#Worlâ€¦",12
12,-0.6486,Mon Jun 25 18:05:28 +0000 2018,0.65,0.35,0.0,@BBCWorld,California scientist shot dead while camping with daughters https://t.co/bSSixkPYAu,13
13,-0.5994,Mon Jun 25 17:43:12 +0000 2018,0.83,0.17,0.0,@BBCWorld,"RT @BBCSport: The Egyptian FA says there's ""no problem"" between it and Mo Salah, amid reports their star player could be set to quit the naâ€¦",14
14,-0.4588,Mon Jun 25 17:35:02 +0000 2018,0.7,0.3,0.0,@BBCWorld,Venezuela vice-president Delcy RodrÃ­guez banned from EU https://t.co/cYILX6Fz3d,15
15,-0.4585,Mon Jun 25 17:32:35 +0000 2018,0.769,0.231,0.0,@BBCWorld,World Cup 2018: The dos and don'ts of celebrating a goal https://t.co/2pqi4aYuOB,16
16,-0.3612,Mon Jun 25 17:02:14 +0000 2018,0.762,0.238,0.0,@BBCWorld,Chinese villagers give up coffins in funeral reform https://t.co/fuTawHJfAI,17
17,0.0,Mon Jun 25 16:57:11 +0000 2018,1.0,0.0,0.0,@BBCWorld,Pentagon: Two military bases to house migrants https://t.co/w9lmbULusb,18
18,0.0,Mon Jun 25 16:46:53 +0000 2018,1.0,0.0,0.0,@BBCWorld,David Goldblatt: South Africa's chronicler of life under apartheid https://t.co/qq8ELyRbzd,19
19,-0.128,Mon Jun 25 16:30:22 +0000 2018,0.545,0.242,0.212,@BBCWorld,Laura Ingalls Wilder removed from book award over racist language https://t.co/1hz365U2mO,20
20,-0.7906,Mon Jun 25 16:17:51 +0000 2018,0.533,0.467,0.0,@BBCWorld,Zimbabwe Bulawayo blast: Two die after attack on Mnangagwa https://t.co/aXrJ3tNFdp,21
21,0.0,Mon Jun 25 16:14:37 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: And it's the last kick of the game!

FT: #KSA 2-1 #EGY 

Reaction: https://t.co/hQb3Q8e3rX #bbcworldcup #WorldCup #KSAEGY httâ€¦",22
22,-0.4019,Mon Jun 25 16:04:22 +0000 2018,0.787,0.213,0.0,@BBCWorld,Iran fans try to disturb Portugal team before key match https://t.co/ngQPLsPUBl,23
23,0.7579,Mon Jun 25 15:55:38 +0000 2018,0.737,0.0,0.263,@BBCWorld,"RT @BBCSport: Full time: Uruguay 3-0 Russia. 

#URU top the group after an impressive display to beat the hosts. They will play the runner-â€¦",24
24,0.2695,Mon Jun 25 15:52:37 +0000 2018,0.77,0.093,0.137,@BBCWorld,"RT @BBCSport: GOAL! Uruguay 3-0 Russia. 

There's another! Edinson Cavani pounces on a loose ball after Diego Godin's header was saved. Thaâ€¦",25
25,-0.7351,Mon Jun 25 15:49:10 +0000 2018,0.563,0.437,0.0,@BBCWorld,Le Marais man jailed for sexually abusing four girls https://t.co/cqhIaNDu1C,26
26,0.0,Mon Jun 25 15:44:16 +0000 2018,1.0,0.0,0.0,@BBCWorld,Germany burkinis: Minister says garments should be allowed in schools https://t.co/jt8UrjKZYc,27
27,0.4939,Mon Jun 25 15:24:01 +0000 2018,0.738,0.0,0.262,@BBCWorld,Phillip Hancock: Rare foreign organ donor praised in China https://t.co/hcEzAhnUNL,28
28,-0.4404,Mon Jun 25 15:16:15 +0000 2018,0.756,0.244,0.0,@BBCWorld,Former Nato chief Javier Solana denied US visa waiver https://t.co/9sL4artMKx,29
29,0.0,Mon Jun 25 15:01:23 +0000 2018,1.0,0.0,0.0,@BBCWorld,Turkey country profile https://t.co/xoERzuQNDb,30
30,-0.1007,Mon Jun 25 14:54:34 +0000 2018,0.764,0.126,0.111,@BBCWorld,"RT @BBCSport: GOAL!

Another penalty for Saudi Arabia, and this time it's converted thanks to Salman Al-Faraj. 

#KSA 1-1 #EGY 

#KSAEGY liâ€¦",31
31,0.2714,Mon Jun 25 14:46:00 +0000 2018,0.738,0.111,0.151,@BBCWorld,"RT @BBCSport: What a moment!

Essam El-Hadary, on the day he becomes the oldest ever #WorldCup player, has pulled off a brilliant penalty sâ€¦",32
32,0.555,Mon Jun 25 14:31:49 +0000 2018,0.86,0.0,0.14,@BBCWorld,"RT @BBCSport: GOAL!

That's the Mo Salah we know!

He gives Egypt the lead with a clever chip.

#KSA 0-1 #EGY 

#KSAEGY live: https://t.co/â€¦",33
33,0.1759,Mon Jun 25 14:26:37 +0000 2018,0.937,0.0,0.063,@BBCWorld,"RT @BBCSport: GOAL! Uruguay 2-0 Russia. 

The corner is cleared as far as Diego Laxalt who fires it back in. It gets a big deflection and fâ€¦",34
34,-0.6588,Mon Jun 25 14:12:13 +0000 2018,0.803,0.197,0.0,@BBCWorld,"RT @BBCSport: GOAL! Uruguay 1-0 Russia. 

Luis Suarez rifles home a low free-kick from just outside the penalty area to give his side the lâ€¦",35
35,0.7351,Mon Jun 25 14:07:45 +0000 2018,0.721,0.0,0.279,@BBCWorld,"RT @BBCSport: Pride is at stake...

Who's ending their #WorldCup campaign with a win?

#KSAEGY live: https://t.co/hQb3Q8e3rX #bbcworldcup hâ€¦",36
36,0.0,Mon Jun 25 14:07:38 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: Underway between #URU and #RUS. 
Follow live here â¬‡
https://t.co/2sTrPAkX1Y
#bbcworldcup #worldcup #URU #RUS #URURUS https://â€¦",37
37,-0.34,Mon Jun 25 13:19:00 +0000 2018,0.806,0.194,0.0,@BBCWorld,Rotterdam oil spill: Hundreds of birds hit after Dutch leak https://t.co/gWYfwfIquI,38
38,0.7579,Mon Jun 25 12:23:15 +0000 2018,0.764,0.0,0.236,@BBCWorld,"RT @BBCSteveR: Weâ€™re in Samara for Russia v Uruguay. After 2 wins out of 2, the Russians are hoping their #WorldCup  will be a launchpad toâ€¦",39
39,0.2732,Mon Jun 25 12:09:32 +0000 2018,0.55,0.174,0.275,@BBCWorld,Iran economic protests shut Tehran's Grand Bazaar https://t.co/pb1kNKmFl5,40
40,0.5859,Mon Jun 25 11:48:04 +0000 2018,0.703,0.0,0.297,@BBCWorld,Turkey election: Erdogan win ushers in new presidential era https://t.co/kb3tct0yxt,41
41,-0.4019,Mon Jun 25 11:05:56 +0000 2018,0.748,0.252,0.0,@BBCWorld,Dublin church: Seven injured as car hits pedestrians https://t.co/DNu8vPz9v1,42
42,-0.4939,Mon Jun 25 10:00:34 +0000 2018,0.714,0.286,0.0,@BBCWorld,Nigerian music star D'banj's son 'drowns at home' https://t.co/Lapq4B7NHw,43
43,0.0,Mon Jun 25 09:50:58 +0000 2018,1.0,0.0,0.0,@BBCWorld,"A pitch invader with a difference 

https://t.co/nhWG8stRZR https://t.co/FKjkR5i32s",44
44,0.0,Mon Jun 25 09:48:34 +0000 2018,1.0,0.0,0.0,@BBCWorld,Turkey election: Country's heart split over Erdogan victory https://t.co/gNwftmz3Ag,45
45,-0.5267,Mon Jun 25 08:51:47 +0000 2018,0.726,0.274,0.0,@BBCWorld,Authorities search for football team trapped in Thai cave https://t.co/xVAjCuqKmg,46
46,0.0,Mon Jun 25 07:56:24 +0000 2018,1.0,0.0,0.0,@BBCWorld,"Turkey election: What does the result mean? 

https://t.co/5JfYNbXTIE https://t.co/v2CN2i1EIN",47
47,0.5719,Mon Jun 25 07:35:13 +0000 2018,0.709,0.0,0.291,@BBCWorld,"Turkey reacts after Erdogan wins re-election as president 

https://t.co/89mvsBAQ0W https://t.co/HoAAVx6oHv",48
48,0.5267,Mon Jun 25 07:31:44 +0000 2018,0.56,0.152,0.288,@BBCWorld,"Meet the dogs that competed for the World's Ugliest Dog prize

(...they're all beautiful to us)â€¦ https://t.co/hBorGjGG8w",49
49,-0.7351,Mon Jun 25 07:11:47 +0000 2018,0.446,0.554,0.0,@BBCWorld,Roseanne Barr regrets becoming 'hate magnet' https://t.co/3Cjaqxw9Xp,50
50,0.0,Mon Jun 25 05:21:57 +0000 2018,1.0,0.0,0.0,@BBCWorld,Pope's Ireland visit: Tickets to be released https://t.co/sUlvRl7Zyb,51
51,-0.7269,Mon Jun 25 00:41:27 +0000 2018,0.534,0.466,0.0,@BBCWorld,Doctor on trial over Spain 'stolen babies' scandal https://t.co/9729DVdwpK,52
52,0.5267,Mon Jun 25 00:39:00 +0000 2018,0.574,0.115,0.311,@BBCWorld,Police geeks trying to win over old-school cops https://t.co/7dXpf7HGUv,53
53,0.0,Mon Jun 25 00:36:20 +0000 2018,1.0,0.0,0.0,@BBCWorld,The Indian actresses caught in a US 'prostitution' racket https://t.co/tWakspJv01,54
54,0.0,Mon Jun 25 00:33:38 +0000 2018,1.0,0.0,0.0,@BBCWorld,Burning Cameroon: Images you're not meant to see https://t.co/iy9pAixaaH,55
55,-0.8126,Mon Jun 25 00:18:45 +0000 2018,0.486,0.514,0.0,@BBCWorld,Mexico town's entire police force detained after murder https://t.co/uhOaVb09NH,56
56,-0.8074,Sun Jun 24 23:54:41 +0000 2018,0.523,0.477,0.0,@BBCWorld,Clashes in Nigeria between farmers and herders kill 86 https://t.co/7ssM9oZaN7,57
57,0.0,Sun Jun 24 19:17:37 +0000 2018,1.0,0.0,0.0,@BBCWorld,Trump calls for deportations without judicial process https://t.co/Nl5nkeES6S,58
58,-0.3612,Sun Jun 24 18:55:57 +0000 2018,0.667,0.333,0.0,@BBCWorld,Europe migrants: Italy warns Schengen is 'at risk' https://t.co/RCO71FM9fr,59
59,-0.6705,Sun Jun 24 17:44:07 +0000 2018,0.64,0.36,0.0,@BBCWorld,Mali Fula villagers were killed 'in cold blood' https://t.co/AfcHoefUVO,60
60,0.4588,Sun Jun 24 17:02:54 +0000 2018,0.769,0.0,0.231,@BBCWorld,Event in Dublin for 60 years of UN peacekeeping missions https://t.co/6w3nloDc5Q,61
61,-0.7906,Sun Jun 24 16:48:00 +0000 2018,0.533,0.467,0.0,@BBCWorld,A juvenile male has been arrested over Tallaght Park death https://t.co/qLTGyf7inE,62
62,-0.3802,Sun Jun 24 16:43:57 +0000 2018,0.874,0.126,0.0,@BBCWorld,"RT @bbctennis: Heâ€™s done it!

Cilic defeats Djokovic 5-7, 7-6, 6-3.

Watch on @BBCTwo or hereðŸ‘‡
https://t.co/jUcUW6L31r
#bbctennis #QueensTeâ€¦",63
63,0.0,Sun Jun 24 15:54:59 +0000 2018,1.0,0.0,0.0,@BBCWorld,Erdogan leads after early results in Turkey https://t.co/3ywfCK7u0H,64
64,0.0,Sun Jun 24 15:22:40 +0000 2018,1.0,0.0,0.0,@BBCWorld,"Lava from Hawaii's Kilauea volcano creeps closer to more homes ðŸŒ‹

https://t.co/DX4aFQwOaH https://t.co/HRp05YBuHy",65
65,0.4574,Sun Jun 24 13:53:17 +0000 2018,0.893,0.0,0.107,@BBCWorld,"RT @BBCSport: FT #ENG 6-1 #PAN 

Kane âš½âš½âš½
Stones âš½âš½
Lingard âš½

Qualification secured! âœ…

ðŸ“º @BBCOne 
ðŸ“» @5liveSport 
ðŸ“± https://t.co/ByebdqU7Yâ€¦",66
66,0.0,Sun Jun 24 13:38:10 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: GOAL! #ENG 6-1 #PAN 

Comeback on?

Baloy gets on the end of a free-kick. The Panama fans go wild!

ðŸ“º @BBCOne 
ðŸ“» @5liveSportâ€¦",67
67,0.0,Sun Jun 24 13:36:20 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @bbcf1: Moment of history for Saudi Arabia's women at today's  #FrenchGP 

Aseel Al-Hamad will drive a Lotus Renault E20 on a lap of theâ€¦",68
68,0.0,Sun Jun 24 13:21:38 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: GOAL! #ENG 6-0 #PAN 

Hat-trick for Harry Kane!

He's the leading #WorldCup goalscorer now on five goals!

ðŸ“º @BBCOne 
ðŸ“» @5livâ€¦",69
69,0.0,Sun Jun 24 12:45:55 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: GOAL! #ENG 5-0 #PAN 

It's coming home.

ðŸ“º @BBCOne 
ðŸ“» @5liveSport 
ðŸ“± https://t.co/ByebdqU7Yx

#WorldCup #ENGPAN #bbcworldcupâ€¦",70
70,0.3578,Sun Jun 24 12:42:22 +0000 2018,0.894,0.0,0.106,@BBCWorld,"RT @BBCSport: GOAL! #ENG 4-0 #PAN 

Okay.

John Stones grabs his second - England are cruising!

ðŸ“º @BBCOne 
ðŸ“» @5liveSport 
ðŸ“± https://t.co/Bâ€¦",71
71,0.7762,Sun Jun 24 12:36:38 +0000 2018,0.747,0.0,0.253,@BBCWorld,"RT @BBCSport: GOAL! #ENG 3-0 #PAN 

Jesse Lingard!!

He curls a beauty into the top corner. Dreamland for England!

ðŸ“º @BBCOne 
ðŸ“» @5liveSporâ€¦",72
72,0.0,Sun Jun 24 12:23:45 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: GOAL! #ENG 2-0 #PAN 

Harry Kane converts from the spot - his third goal of the #WorldCup 

ðŸ“º @BBCOne 
ðŸ“» @5liveSport 
ðŸ“± httpsâ€¦",73
73,-0.8126,Sun Jun 24 12:17:52 +0000 2018,0.448,0.552,0.0,@BBCWorld,Ukraine Roma camp attack leaves one dead https://t.co/PlwCBL9CYV,74
74,0.0,Sun Jun 24 12:09:06 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: GOAL! #ENG 1-0 #PAN 

What a start! 

John Stones with a bullet header from a corner.

ðŸ“º @BBCOne 
ðŸ“» @5liveSport 
ðŸ“± https://t.â€¦",75
75,0.0,Sun Jun 24 12:00:45 +0000 2018,1.0,0.0,0.0,@BBCWorld,"RT @BBCSport: #ENG v #PAN is under way!

ðŸ“º @BBCOne 
ðŸ“» @5liveSport 
ðŸ“± https://t.co/ByebdqU7Yx

#WorldCup #ENGPAN #bbcworldcup https://t.co/râ€¦",76
76,0.0,Sun Jun 24 10:32:17 +0000 2018,1.0,0.0,0.0,@BBCWorld,Zimbabwe election to 'to go ahead as planned' after blast https://t.co/bSUek02iOJ,77
77,0.2942,Sun Jun 24 10:23:22 +0000 2018,0.886,0.0,0.114,@BBCWorld,"""At last!""

Saudi Arabia becomes the last country in the world to allow women to drive. https://t.co/vfOqNTBk9o https://t.co/NmsTDXIGvr",78
78,0.0,Sun Jun 24 10:23:11 +0000 2018,1.0,0.0,0.0,@BBCWorld,Germany building explosion injures 25 https://t.co/K6Ddvz6RcE,79
79,0.0,Sun Jun 24 09:09:03 +0000 2018,1.0,0.0,0.0,@BBCWorld,"Han Solo 'blaster' fetches $550,000 in New York https://t.co/sIVep26sTx",80
80,0.0,Sun Jun 24 08:42:41 +0000 2018,1.0,0.0,0.0,@BBCWorld,A woman takes the wheel in Saudi Arabia https://t.co/9OvRr1sRE9,81
81,0.0,Sun Jun 24 08:22:53 +0000 2018,1.0,0.0,0.0,@BBCWorld,RT @BBCSport: Fifa has opened an investigation into Granit Xhaka and Xherdan Shaqiri's goal celebrations during Switzerland's World Cup vicâ€¦,82
82,0.6369,Sun Jun 24 08:13:42 +0000 2018,0.781,0.0,0.219,@BBCWorld,"RT @BBCSteveR: From (World Cup) Russia with Love:  Marx, Putin, pigeons &amp; a piano accompaniment. #WorldCup https://t.co/xwOgMeNlf2",83
83,0.0,Sun Jun 24 07:44:41 +0000 2018,1.0,0.0,0.0,@BBCWorld,"New Zealand's PM reveals her daughter's name as she leaves hospital in Auckland ðŸ‘¶ðŸ‡³ðŸ‡¿

https://t.co/5E751apfOg https://t.co/Zt70QyeRZz",84
84,0.0,Sun Jun 24 06:28:30 +0000 2018,1.0,0.0,0.0,@BBCWorld,Woman 'humiliated' by Walgreens over drugs to end pregnancy https://t.co/lPc86Eo2yL,85
85,-0.7506,Sun Jun 24 05:27:48 +0000 2018,0.484,0.516,0.0,@BBCWorld,Nicaragua protests: Baby killed in Managua clashes https://t.co/ks17QgywFj,86
86,0.0,Sun Jun 24 02:59:56 +0000 2018,1.0,0.0,0.0,@BBCWorld,Turkey election: Erdogan seeks second term in hard-fought contest https://t.co/ICViy1WcdF,87
87,0.5106,Sun Jun 24 01:36:26 +0000 2018,0.708,0.0,0.292,@BBCWorld,100 Women: 'Signing a gagging clause set me free' https://t.co/y59xOTGNwE,88
88,-0.5574,Sun Jun 24 01:14:34 +0000 2018,0.714,0.286,0.0,@BBCWorld,What impact has Donald Trump had on illegal immigration? https://t.co/oN2Vtp7P6w,89
89,0.0,Sun Jun 24 01:12:13 +0000 2018,1.0,0.0,0.0,@BBCWorld,Kenya's 'contaminated sugar' row: What we know https://t.co/iA6N3Hqf2j,90
90,0.0258,Sun Jun 24 01:09:49 +0000 2018,0.879,0.0,0.121,@BBCWorld,Europe migrants: Can the EU reach a new deal? https://t.co/Fr8VLF8lsN,91
91,0.0,Sun Jun 24 01:07:22 +0000 2018,1.0,0.0,0.0,@BBCWorld,How many words do you need to speak a language? https://t.co/LvDicLxGx2,92
92,-0.4404,Sun Jun 24 00:48:40 +0000 2018,0.573,0.274,0.153,@BBCWorld,"Obituary: Suman Virk, the mother who forgave her daughter's killer https://t.co/E52qPUTM0Z",93
93,-0.4019,Sat Jun 23 22:18:54 +0000 2018,0.722,0.278,0.0,@BBCWorld,French jogger detained after crossing US-Canada border https://t.co/Gj3FN7G9nK,94
94,0.0,Sat Jun 23 21:25:25 +0000 2018,1.0,0.0,0.0,@BBCWorld,Sarah Sanders kicked out of restaurant because of work for Trump https://t.co/fs910TE1Lw,95
95,-0.296,Sat Jun 23 21:22:40 +0000 2018,0.738,0.262,0.0,@BBCWorld,Vatican ex-diplomat sentenced to five years on child pornography charges https://t.co/zoiMSAo7o7,96
96,-0.128,Sat Jun 23 17:22:19 +0000 2018,0.927,0.073,0.0,@BBCWorld,"RT @BBCNews: Thousands of people marched through central London to demand a vote on any final #Brexit deal ðŸ‡¬ðŸ‡§ðŸ‡ªðŸ‡º

https://t.co/35XqTjiYfN htâ€¦",97
97,-0.296,Sat Jun 23 16:37:02 +0000 2018,0.761,0.239,0.0,@BBCWorld,Boru: Golden eagle missing in Monaghan returns https://t.co/6iRTsOqSXE,98
98,0.34,Sat Jun 23 15:32:04 +0000 2018,0.606,0.144,0.25,@BBCWorld,Italy migrant row: Malta defiant over stranded rescue boat https://t.co/Mw4jrRT7ic,99
99,-0.7184,Sat Jun 23 14:17:31 +0000 2018,0.75,0.25,0.0,@BBCWorld,Thousands of gallons of crude oil has leaked into a US river after a train came off the tracks in Iowaâ€¦ https://t.co/wRUuERvQje,100
100,0.0,Mon Jun 25 21:03:18 +0000 2018,1.0,0.0,0.0,@CBSNews,"NEW TIME: @CBSNews' politics show ""Red &amp; Blue"" streams at 5 p.m. ET on CBSN.

Watch now: https://t.co/P7G5YsDifE https://t.co/oK16SpcMw3",1
101,0.8074,Mon Jun 25 20:59:59 +0000 2018,0.57,0.0,0.43,@CBSNews,"WATCH: This ""beary"" impressive cub bravely climbed a ladder to escape a basement in Wisconsin.â€¦ https://t.co/Se5g0VfBr0",2
102,0.4939,Mon Jun 25 20:40:45 +0000 2018,0.824,0.0,0.176,@CBSNews,"World Cup players fined $10,000 for making hand gestures during Switzerland vs. Serbia game https://t.co/D8zlISNW5l https://t.co/Vfyqn82Cdy",3
103,-0.5574,Mon Jun 25 20:30:03 +0000 2018,0.795,0.205,0.0,@CBSNews,"Today marks nine years since the King of Pop died.

R.I.P. Michael Jackson. https://t.co/KlxnYWFAdP https://t.co/itnve2y6k5",4
104,-0.5574,Mon Jun 25 20:23:30 +0000 2018,0.841,0.159,0.0,@CBSNews,Saudi Arabia's ban on female drivers has officially ended and women are zooming right into a new career behind theâ€¦ https://t.co/dAHt3YhkOy,5
105,0.34,Mon Jun 25 20:15:59 +0000 2018,0.882,0.0,0.118,@CBSNews,"Sanders on family separation policy: ""We consider enforcing the law the role the administration has to play. Certaiâ€¦ https://t.co/3xX1XjTBI7",6
106,0.3818,Mon Jun 25 20:09:12 +0000 2018,0.841,0.0,0.159,@CBSNews,"""Sure I was responding to a number of news stories. It was considered news of the day, so I responded the way I wouâ€¦ https://t.co/kYD0TohFMk",7
107,-0.5859,Mon Jun 25 20:07:39 +0000 2018,0.649,0.248,0.103,@CBSNews,"""Again, the EU is trying to punish U.S. workers because they have engaged repeatedly in unfair trade practices andâ€¦ https://t.co/m4olTqTGj8",8
